grievance_text,category,priority
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
I want to report a local community matter that does not fit another category. The issue has been reported by local residents.,OTHER,MEDIUM
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
Teachers and students need better facilities for classroom learning. Residents have requested prompt action.,EDUCATION,MEDIUM
Our government housing unit has serious structural damage. The issue has been reported by local residents.,HOUSING,CRITICAL
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Residents want better safety measures around the public gathering area. People in the locality are requesting a solution.,PUBLIC_SAFETY,CRITICAL
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
There is inadequate bus service between our neighborhood and the town. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
The local school needs more basic educational facilities.,EDUCATION,LOW
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
Families need support for safe and affordable accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
